"","Team","Opponent","game_id","game_date","season","is_home","TOI","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff","PEND2","PENT2","PEND5","PENT5"
"55","ANA","NSH",2008020767,14280,20082009,0,60,2,4,-2,0,0,0,30,34,-4,35,42,-7,51,56,-5,2,2,0,0
"56","ANA","CGY",2008020779,14282,20082009,0,60,2,1,1,0,0,0,25,27,-2,38,34,4,50,44,6,2,4,0,0
"57","ANA","CGY",2008020810,14286,20082009,1,60.9166666666667,3,2,1,0,0,0,40,23,17,52,36,16,65,41,24,6,5,0,0
"58","ANA","ATL",2008020839,14290,20082009,1,60,4,8,-4,0,0,0,35,43,-8,51,52,-1,64,62,2,3,6,0,0
"59","ANA","L.A",2008020858,14293,20082009,1,60,3,4,-1,0,0,0,31,26,5,41,42,-1,50,54,-4,8,8,0,0
"60","ANA","DET",2008020873,14295,20082009,0,60,2,5,-3,0,0,0,26,34,-8,39,49,-10,50,62,-12,4,5,0,0
"61","ANA","CBJ",2008020883,14296,20082009,0,60,5,2,3,0,0,0,13,28,-15,20,39,-19,27,54,-27,4,9,0,0
"62","ANA","BUF",2008020894,14299,20082009,0,60,3,2,1,0,0,0,22,36,-14,27,45,-18,40,52,-12,5,6,0,0
"63","ANA","BOS",2008020908,14301,20082009,0,60,0,6,-6,0,0,0,35,27,8,43,32,11,54,47,7,4,5,0,0
"64","ANA","DAL",2008020925,14303,20082009,0,60,4,3,1,0,0,0,18,33,-15,29,44,-15,41,54,-13,3,5,0,0
"65","ANA","CHI",2008020949,14306,20082009,0,61.6666666666667,2,3,-1,0,0,0,28,37,-9,41,46,-5,51,54,-3,3,2,0,0
"66","ANA","DAL",2008020968,14309,20082009,1,60,2,3,-1,0,0,0,38,16,22,51,22,29,63,27,36,4,5,0,0
"67","ANA","MIN",2008020985,14311,20082009,1,60,2,3,-1,0,0,0,38,25,13,54,32,22,63,39,24,3,4,0,0
"68","ANA","VAN",2008021002,14314,20082009,1,63.6166666666667,4,3,1,0,0,0,41,35,6,57,52,5,65,61,4,7,7,0,0
"69","ANA","S.J",2008021036,14318,20082009,1,60,0,1,-1,0,0,0,34,30,4,46,42,4,59,54,5,4,4,0,0
"70","ANA","NSH",2008021054,14321,20082009,1,60.5666666666667,4,3,1,0,0,0,31,24,7,44,26,18,54,31,23,5,3,0,0
"71","ANA","ARI",2008021061,14322,20082009,0,65,2,2,0,0,0,0,27,28,-1,37,44,-7,48,55,-7,3,6,0,0
"72","ANA","ARI",2008021083,14325,20082009,1,60,6,2,4,0,0,0,30,28,2,49,40,9,65,52,13,4,4,0,0
"73","ANA","NSH",2008021092,14327,20082009,0,65,1,1,0,0,0,0,19,32,-13,28,44,-16,42,61,-19,1,3,0,0
"74","ANA","COL",2008021101,14328,20082009,0,60,7,2,5,0,0,0,29,36,-7,33,50,-17,50,58,-8,8,6,0,0
"75","ANA","EDM",2008021115,14330,20082009,1,60,3,5,-2,0,0,0,54,20,34,78,27,51,93,30,63,12,8,0,0
"76","ANA","COL",2008021133,14332,20082009,1,60,4,1,3,0,0,0,31,27,4,43,43,0,53,54,-1,4,3,0,0
"77","ANA","EDM",2008021142,14334,20082009,0,60,5,3,2,0,0,0,25,31,-6,39,49,-10,50,67,-17,5,7,0,0
"78","ANA","VAN",2008021156,14336,20082009,0,65,5,5,0,0,0,0,32,30,2,43,41,2,48,58,-10,1,4,0,0
"79","ANA","S.J",2008021173,14338,20082009,0,60,5,2,3,0,0,0,28,30,-2,38,38,0,45,45,0,2,4,0,0
"80","ANA","S.J",2008021179,14339,20082009,1,60,2,3,-1,0,0,0,21,26,-5,30,35,-5,34,44,-10,5,11,0,0
"81","ANA","DAL",2008021213,14344,20082009,1,65,3,3,0,0,0,0,39,45,-6,53,59,-6,65,68,-3,4,4,0,0
"82","ANA","ARI",2008021225,14345,20082009,0,65,4,4,0,0,0,0,35,33,2,48,42,6,55,51,4,6,6,0,0
"83","ANA","S.J",2008030151,14350,20082009,0,60,2,0,2,0,0,0,17,35,-18,27,43,-16,38,61,-23,4,6,0,0
"84","ANA","S.J",2008030152,14353,20082009,0,60,3,2,1,0,0,0,26,44,-18,40,62,-22,51,83,-32,2,6,0,0
"85","ANA","S.J",2008030153,14355,20082009,1,60,3,4,-1,0,0,0,30,35,-5,40,45,-5,52,54,-2,4,5,0,0
"86","ANA","S.J",2008030154,14357,20082009,1,60,4,0,4,0,0,0,26,31,-5,42,40,2,55,46,9,6,3,0,0
"87","ANA","S.J",2008030155,14359,20082009,0,66.0333333333333,2,3,-1,0,0,0,25,48,-23,40,61,-21,61,86,-25,3,3,0,0
"88","ANA","S.J",2008030156,14361,20082009,1,60,4,1,3,0,0,0,32,37,-5,52,57,-5,62,71,-9,10,10,0,0
"89","ANA","DET",2008030231,14365,20082009,0,60,2,3,-1,0,0,0,24,37,-13,36,52,-16,43,67,-24,5,5,0,0
"90","ANA","DET",2008030232,14367,20082009,0,80,3,3,0,0,0,0,35,47,-12,47,72,-25,61,86,-25,4,3,0,0
"91","ANA","DET",2008030233,14369,20082009,1,60,2,1,1,0,0,0,23,46,-23,30,61,-31,38,77,-39,6,7,0,0
"92","ANA","DET",2008030234,14371,20082009,1,60,3,6,-3,0,0,0,28,40,-12,41,57,-16,46,71,-25,3,5,0,0
"93","ANA","DET",2008030235,14374,20082009,0,60,1,4,-3,0,0,0,17,38,-21,25,57,-32,39,65,-26,3,4,0,0
"94","ANA","DET",2008030236,14376,20082009,1,60,2,1,1,0,0,0,28,39,-11,36,52,-16,40,65,-25,5,8,0,0
"95","ANA","DET",2008030237,14378,20082009,0,60,3,4,-1,0,0,0,27,40,-13,35,58,-23,52,74,-22,5,5,0,0
"96","ANA","S.J",2009020022,14520,20092010,1,60,1,4,-3,0,0,0,25,37,-12,37,52,-15,50,61,-11,8,7,0,0
"97","ANA","MIN",2009020029,14523,20092010,0,63.1333333333333,3,4,-1,0,0,0,19,32,-13,27,48,-21,35,65,-30,4,7,0,0
"98","ANA","BOS",2009020035,14525,20092010,0,60,6,1,5,0,0,0,30,34,-4,40,44,-4,49,59,-10,2,6,0,0
"99","ANA","PHI",2009020052,14527,20092010,0,65,2,2,0,0,0,0,33,35,-2,43,52,-9,61,71,-10,5,8,0,0
"100","ANA","NYR",2009020062,14528,20092010,0,60,0,3,-3,0,0,0,18,38,-20,28,56,-28,42,67,-25,3,4,0,0
"101","ANA","MIN",2009020079,14531,20092010,1,60,3,2,1,0,0,0,35,34,1,47,50,-3,57,60,-3,4,4,0,0
"102","ANA","STL",2009020105,14534,20092010,1,60,0,5,-5,0,0,0,26,32,-6,34,56,-22,42,64,-22,5,7,0,0
"103","ANA","DAL",2009020117,14538,20092010,1,60,2,4,-2,0,0,0,26,38,-12,45,43,2,53,51,2,1,3,0,0
"104","ANA","CBJ",2009020144,14541,20092010,1,60,4,6,-2,0,0,0,36,37,-1,49,47,2,58,53,5,3,3,0,0
"105","ANA","TOR",2009020151,14543,20092010,1,60,3,6,-3,0,0,0,28,39,-11,42,52,-10,49,68,-19,8,15,0,0
"106","ANA","VAN",2009020178,14547,20092010,1,60,7,2,5,0,0,0,34,38,-4,47,55,-8,53,62,-9,2,4,0,0
"107","ANA","ARI",2009020189,14548,20092010,0,65,2,2,0,0,0,0,34,32,2,47,41,6,59,63,-4,7,2,0,0
"108","ANA","PIT",2009020202,14551,20092010,1,60,3,4,-1,0,0,0,29,27,2,47,40,7,67,58,9,3,7,0,0
"109","ANA","NSH",2009020217,14553,20092010,1,60,4,0,4,0,0,0,31,40,-9,36,58,-22,42,69,-27,6,6,0,0
"110","ANA","ARI",2009020236,14555,20092010,1,60,4,3,1,0,0,0,26,30,-4,37,43,-6,45,58,-13,7,3,0,0
"111","ANA","N.J",2009020248,14559,20092010,0,60,1,3,-2,0,0,0,32,25,7,37,31,6,44,34,10,6,3,0,0
"112","ANA","CBJ",2009020264,14561,20092010,0,65,2,2,0,0,0,0,34,29,5,45,42,3,60,56,4,6,5,0,0
"113","ANA","DET",2009020273,14562,20092010,0,60,4,7,-3,0,0,0,23,37,-14,33,56,-23,46,72,-26,5,7,0,0
"114","ANA","PIT",2009020286,14564,20092010,0,60,2,5,-3,0,0,0,25,26,-1,35,41,-6,50,51,-1,3,7,0,0
"115","ANA","T.B",2009020306,14567,20092010,1,60.8666666666667,4,3,1,0,0,0,27,24,3,37,31,6,49,41,8,6,4,0,0
"116","ANA","S.J",2009020325,14569,20092010,1,60,2,3,-1,0,0,0,30,36,-6,42,46,-4,55,54,1,5,4,0,0
"117","ANA","CGY",2009020337,14571,20092010,1,65,2,2,0,0,0,0,31,43,-12,47,55,-8,51,66,-15,4,5,0,0
"118","ANA","CAR",2009020351,14573,20092010,1,60,3,2,1,0,0,0,33,30,3,47,44,3,58,53,5,2,3,0,0
"119","ANA","CHI",2009020359,14575,20092010,1,60,3,0,3,0,0,0,34,28,6,40,41,-1,48,52,-4,5,4,0,0
"120","ANA","ARI",2009020380,14577,20092010,1,61.3,2,3,-1,0,0,0,28,26,2,39,39,0,46,54,-8,4,5,0,0
"121","ANA","L.A",2009020392,14579,20092010,1,60,3,4,-1,0,0,0,30,42,-12,37,55,-18,43,64,-21,4,5,0,0
"122","ANA","DAL",2009020405,14581,20092010,0,60,1,3,-2,0,0,0,27,37,-10,39,50,-11,53,63,-10,1,4,0,0
"123","ANA","MIN",2009020411,14582,20092010,0,65,4,4,0,0,0,0,22,29,-7,28,44,-16,40,61,-21,3,3,0,0
"124","ANA","OTT",2009020428,14584,20092010,1,65,3,3,0,0,0,0,36,29,7,46,40,6,56,51,5,3,5,0,0
"125","ANA","DAL",2009020441,14586,20092010,1,64.2166666666667,4,3,1,0,0,0,42,22,20,54,31,23,70,47,23,1,4,0,0
"126","ANA","DET",2009020461,14589,20092010,0,61.1166666666667,2,3,-1,0,0,0,27,31,-4,31,51,-20,40,66,-26,4,10,0,0
"127","ANA","CBJ",2009020472,14590,20092010,0,60,3,1,2,0,0,0,25,36,-11,29,43,-14,40,58,-18,3,5,0,0
"128","ANA","VAN",2009020501,14594,20092010,0,60,3,2,1,0,0,0,34,30,4,41,45,-4,50,56,-6,5,6,0,0
"129","ANA","S.J",2009020510,14595,20092010,0,60,1,4,-3,0,0,0,21,37,-16,33,51,-18,48,67,-19,5,6,0,0
"130","ANA","ARI",2009020519,14597,20092010,1,60,4,2,2,0,0,0,34,41,-7,50,51,-1,54,64,-10,8,4,0,0
"131","ANA","COL",2009020543,14600,20092010,0,60,4,2,2,0,0,0,43,17,26,57,29,28,73,35,38,3,3,0,0
"132","ANA","ARI",2009020555,14601,20092010,0,60,0,4,-4,0,0,0,21,32,-11,30,39,-9,40,53,-13,4,2,0,0
"133","ANA","S.J",2009020569,14604,20092010,0,60,2,5,-3,0,0,0,32,25,7,52,36,16,63,51,12,5,3,0,0
"134","ANA","MIN",2009020589,14607,20092010,1,60,4,2,2,0,0,0,32,31,1,40,44,-4,50,53,-3,4,5,0,0
