Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2014,Mike Cammalleri,CGY,L,63,24.61666667,0,0,0,0,0,-,2,0,2,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,5,5,50
2014,Chris Thorburn,WPG,R,55,4.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,-
2014,Jason Pominville,MIN,R,82,6.516666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,Jay Harrison,CAR,D,68,48.65,0,0,0,0,0,0,0,-,0,0,0,0,0,0,5,1,0,1,0,3,0,2,0,0,6,0,0,-
2014,Stephane Veilleux,MIN,L,34,41.53333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,0,100
2014,Patrick Sharp,CHI,L,82,4.333333333,0,0,0,0,0,-,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,75
2014,Cody McCormick,"BUF, MIN",C,43,56.81666667,0,0,0,0,0,-,3,0,3,3,1,0,0,1,4,2,2,0,0,4,0,3,3,0,4,12,17,41.38
2014,Kevin Bieksa,VAN,D,76,167.5333333,0,0,0,0,0,0,1,0,2,1,1,0,0,0,14,3,2,0,1,5,7,9,14,5,17,0,0,-
2014,Dennis Seidenberg,BOS,D,34,81.66666667,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,1,10,5,14,0,0,-
2014,Ryane Clowe,N.J,L,43,0.4166666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-
2014,Andrew Alberts,VAN,D,10,3.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2014,Jussi Jokinen,PIT,L,81,2.966666667,0,0,0,0,0,-,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50
