Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Darren Helm,DET,L,61,115.2666667,1,3,1,2,4,200,17,5.88,25,23,10,5,6,1,0,0,0,0,0,2,2,5,2,2,3,6,6,50
2019,Andy Greene,N.J,D,82,335.4666667,0,4,2,2,4,50,12,0,16,16,3,2,4,0,2,1,1,0,0,0,10,9,14,3,60,0,0,-
2019,Cam Atkinson,CBJ,R,80,107.3333333,4,0,0,0,4,80,18,22.22,22,20,15,6,4,1,0,0,0,0,0,1,0,10,2,1,3,0,1,0
2019,Reilly Smith,VGK,R,74,114.0833333,1,3,2,1,4,100,11,9.09,19,17,14,8,2,1,0,0,0,0,0,1,2,16,4,1,3,2,1,66.67
2019,Brian Dumoulin,PIT,D,76,179.5833333,0,4,0,4,4,80,5,0,9,5,3,0,1,1,0,0,0,0,0,1,7,6,14,5,28,0,0,-
2019,Bryan Rust,PIT,R,72,142.0166667,2,2,2,0,4,80,21,9.52,27,26,21,13,8,2,0,0,0,0,0,1,0,9,5,2,19,6,7,46.15
2019,Elias Lindholm,CGY,C,81,185.3,1,3,3,0,4,40,10,10,14,12,9,7,2,1,4,1,1,0,0,1,2,10,5,3,8,57,77,42.54
2019,Jared McCann,"FLA, PIT",C,78,91.98333333,4,0,0,0,4,80,11,36.36,13,12,7,3,2,1,0,0,0,0,0,0,1,3,2,3,2,18,18,50
2019,Derek Ryan,CGY,C,81,155.2833333,0,4,3,1,4,80,7,0,10,9,6,4,2,0,0,0,0,0,0,3,3,9,0,1,7,59,39,60.2
2019,Blake Wheeler,WPG,R,82,93.53333333,2,1,1,0,3,75,6,33.33,10,8,6,4,1,0,5,1,0,1,0,2,5,7,4,1,10,1,4,20
2019,Carl Soderberg,COL,C,82,202.7,3,0,0,0,3,100,16,18.75,19,17,10,7,2,1,4,2,2,0,0,1,4,13,10,6,20,95,124,43.38
2019,Paul Byron,MTL,L,56,77.7,2,1,1,0,3,100,4,50,4,4,3,3,2,0,0,0,0,0,0,4,0,2,3,1,5,5,12,29.41
2019,Ryan McDonagh,T.B,D,82,257.7833333,0,3,2,1,3,50,8,0,9,9,3,0,0,0,2,1,1,0,0,4,7,6,11,2,39,0,0,-
2019,Lars Eller,WSH,C,81,189.3666667,1,2,1,1,3,75,10,10,14,12,6,3,1,0,0,0,0,0,0,0,11,17,3,2,19,88,113,43.78
2019,Zack Smith,OTT,L,70,128.7666667,1,2,2,0,3,100,8,12.5,10,9,6,3,2,1,6,3,3,0,0,7,3,7,3,3,4,55,81,40.44
2019,Travis Hamonic,CGY,D,69,195.6833333,1,2,1,1,3,30,6,16.67,7,7,1,0,0,0,2,1,1,0,0,2,11,8,3,7,42,0,0,-
2019,Derek Stepan,ARI,C,72,139.0833333,3,0,0,0,3,75,26,11.54,33,28,12,7,9,2,0,0,0,0,0,1,4,12,1,2,6,77,79,49.36
2019,Ryan O'Reilly,STL,C,82,163.8,1,2,2,0,3,100,7,14.29,9,8,6,3,2,0,0,0,0,0,0,1,2,15,0,0,4,121,111,52.16
2019,Jakob Silfverberg,ANA,R,73,124.3333333,2,1,1,0,3,100,4,50,8,6,3,3,2,0,2,1,1,0,0,0,1,5,1,4,8,1,2,33.33
2019,Oliver Ekman-Larsson,ARI,D,81,102.1666667,1,2,2,0,3,75,4,25,5,5,0,0,2,0,0,0,0,0,0,2,3,0,7,1,4,0,0,-
2019,Casey Cizikas,NYI,C,73,141.8666667,2,1,1,0,3,100,8,25,10,9,6,4,2,0,2,1,1,0,0,6,4,10,2,4,19,77,87,46.95
2019,Cody Eakin,VGK,C,78,103.3333333,3,0,0,0,3,75,9,33.33,16,14,8,4,1,1,0,0,0,0,0,3,0,7,5,0,7,36,37,49.32
2019,Kevin Hayes,"NYR, WPG","C, R",71,126.25,2,1,1,0,3,100,9,22.22,16,13,12,5,2,2,0,0,0,0,0,1,2,8,1,1,4,43,64,40.19
2019,Adam Lowry,WPG,C,78,177.6666667,1,2,1,1,3,75,10,10,11,11,7,6,1,0,2,1,1,0,0,2,4,4,8,3,14,127,115,52.48
2019,Brandon Saad,CHI,L,80,137.0333333,3,0,0,0,3,75,17,17.65,28,23,20,9,2,1,0,0,0,0,0,2,4,8,3,4,1,4,5,44.44
2019,Matt Nieto,COL,L,64,167.8,1,2,2,0,3,50,16,6.25,19,19,9,4,1,0,0,0,0,0,0,1,2,2,1,2,6,8,7,53.33
2019,William Karlsson,VGK,C,82,125.4666667,1,2,2,0,3,75,16,6.25,21,19,11,10,2,1,0,0,0,0,0,2,5,6,7,7,5,42,37,53.16
2019,Ryan Nugent-Hopkins,EDM,C,82,139.05,1,2,2,0,3,100,10,10,17,13,10,6,2,1,0,0,0,0,0,4,4,9,4,4,4,53,80,39.85
2019,Mark Scheifele,WPG,C,82,95.73333333,0,3,2,1,3,75,7,0,10,7,4,1,0,0,2,1,1,0,0,0,4,10,1,4,8,43,59,42.16
2019,Luke Glendening,DET,C,78,197.45,1,2,2,0,3,50,11,9.09,13,13,8,3,0,2,0,0,0,0,0,0,3,7,8,3,15,87,86,50.29
2019,Jacob Trouba,WPG,D,82,203.95,1,2,1,1,3,60,5,20,5,5,1,0,0,0,8,3,3,0,0,1,10,3,14,2,20,0,0,-
2019,Teddy Blueger,PIT,C,28,35.81666667,1,2,2,0,3,100,2,50,2,2,1,1,0,0,0,0,0,0,0,2,0,3,0,3,1,6,7,46.15
2019,Josh Anderson,CBJ,R,82,110.45,2,1,1,0,3,100,15,13.33,20,20,12,10,5,1,0,0,0,0,0,1,0,14,1,4,5,2,8,20
2019,Connor Brown,TOR,R,82,160.4833333,0,3,2,1,3,100,5,0,6,6,2,0,0,0,0,0,0,0,0,2,1,7,1,3,7,7,12,36.84
2019,J.T. Compher,COL,L,66,125.2333333,3,0,0,0,3,100,8,37.5,11,10,8,3,1,3,2,1,1,0,0,3,0,4,1,1,10,68,79,46.26
2019,Seth Jones,CBJ,D,75,171.7833333,0,3,2,1,3,42.86,9,0,12,10,4,0,1,1,2,1,1,0,0,0,4,6,8,3,17,0,0,-
2019,Bo Horvat,VAN,C,82,38.35,2,1,1,0,3,100,2,100,2,2,1,1,0,0,2,1,1,0,0,1,0,1,1,0,3,45,46,49.45
2019,Alexander Wennberg,CBJ,C,75,95.9,1,2,2,0,3,75,4,25,4,4,2,2,2,0,0,0,0,0,0,0,1,9,3,2,2,25,44,36.23
2019,Leon Draisaitl,EDM,C,82,95.08333333,3,0,0,0,3,100,11,27.27,16,15,15,8,4,0,0,0,0,0,0,4,5,12,1,0,4,60,61,49.59
2019,Dylan Larkin,DET,C,76,99.33333333,2,1,1,0,3,100,13,15.38,17,14,7,5,1,0,2,1,1,0,0,0,5,8,3,0,3,70,58,54.69
2019,Viktor Arvidsson,NSH,"L, R",58,74.21666667,2,1,1,0,3,100,11,18.18,16,16,10,6,3,0,0,0,0,0,0,4,2,4,2,2,6,0,2,0
2019,Pavel Zacha,N.J,C,61,132.8833333,2,1,1,0,3,100,16,12.5,18,17,14,4,6,1,2,1,1,0,0,0,3,8,5,1,1,31,27,53.45
2019,Mitchell Marner,TOR,"C, R",82,110.8666667,1,2,2,0,3,100,13,7.69,20,18,16,8,1,0,2,1,1,0,0,2,5,13,2,1,3,5,1,83.33
2019,Evan Rodrigues,BUF,L,74,123.9,0,3,3,0,3,100,13,0,19,16,7,2,3,0,2,1,1,0,0,6,1,9,4,5,5,18,18,50
2019,Brandon Tanev,WPG,L,80,172.3833333,2,1,1,0,3,75,10,20,12,12,9,4,1,0,10,1,0,0,1,3,3,4,16,5,31,3,5,37.5
2019,Alexander Steen,STL,L,65,127.0833333,1,1,1,0,2,100,6,16.67,6,6,3,2,0,1,0,0,0,0,0,2,2,11,8,1,14,1,4,20
2019,Ryan Suter,MIN,D,82,189.8833333,1,1,0,1,2,50,3,33.33,5,3,2,2,1,0,0,0,0,0,0,3,0,2,4,1,8,0,0,-
2019,Jeff Carter,L.A,C,76,95.3,1,1,1,0,2,100,6,16.67,12,9,5,2,2,1,0,0,0,0,0,1,2,3,4,2,2,42,48,46.67
2019,Zach Parise,MIN,L,74,86.76666667,0,2,2,0,2,100,5,0,5,5,2,0,0,0,4,2,2,0,0,4,1,2,0,4,9,1,6,14.29
2019,Brian Boyle,"N.J, NSH",C,73,112.25,1,1,1,0,2,100,4,25,4,4,2,1,0,0,4,2,2,0,0,4,4,8,5,3,11,11,23,32.35
2019,Travis Zajac,N.J,C,80,217.0166667,2,0,0,0,2,33.33,7,28.57,14,9,8,1,2,0,6,3,3,0,0,2,0,16,1,1,7,94,72,56.63
2019,Alex Goligoski,ARI,D,76,119.6,0,2,2,0,2,50,2,0,2,2,1,0,0,0,0,0,0,0,0,2,2,1,6,3,24,0,0,-
2019,Paul Stastny,VGK,C,50,54.76666667,1,1,1,0,2,100,2,50,3,3,1,1,0,0,2,1,1,0,0,0,1,1,1,2,1,41,23,64.06
2019,Sidney Crosby,PIT,C,79,44.9,0,2,2,0,2,100,4,0,4,4,4,3,0,1,0,0,0,0,0,5,2,3,1,1,2,15,23,39.47
2019,Jack Johnson,PIT,D,82,185.65,0,2,0,2,2,40,4,0,4,4,0,0,0,0,0,0,0,0,0,5,7,2,25,2,28,0,0,-
