Year,Player,Team,Position,GP,TOI,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per
2015,Dennis Everberg,COL,R,55,649.05,11.80090909,44.56,65.45,40.5,31.62,44.93,41.3,23.48,31.52,42.69,1.94,2.5,43.75,19.04,27.83,40.63,8.13,12.02,40.37,1.39,1.39,50,14.54,21.08,40.83,0.25,0.86,22.22,29.51,45.4,39.39,0.4,0.53,42.86,8.27,92.08,1.003,11.93,14.7,13.31,44.74,47.25,18.58,19.32,23.3,44.37
2015,Bo Horvat,VAN,C,68,833.9333333,12.26372549,48.06,65.33,42.39,37.34,47.13,44.21,27.27,35.18,43.66,2.3,3.17,42.11,24.53,30.94,44.23,11.44,13.38,46.09,1.51,2.09,42,17.46,23.41,42.72,0.48,0.86,35.71,28.48,42.71,40,0.42,0.42,50,8.44,91,0.994,11.3,13.09,13.96,44.9,44.73,17.56,20.36,24.17,42.07
2015,Zac Dalpe,BUF,C,21,194.8166667,9.276984127,44.35,65.29,40.45,34.49,48.05,41.79,27.1,35.11,43.56,1.23,4.62,21.05,22.17,28.03,44.17,7.08,8.32,46,0.92,0.92,50,20.12,26.28,43.36,0,2.87,0,25.8,45.82,36.02,0.44,2.22,16.67,4.55,86.84,0.914,8.62,13.86,12.01,49.89,41.79,13.86,18.48,24.33,36.29
2015,Matt Stajan,CGY,C,59,707.8666667,11.99774011,45.52,65.27,41.09,33.23,47.38,41.22,24.5,33.31,42.38,2.03,2.2,48,20.09,29.24,40.72,8.48,11.1,43.29,1.19,0.93,56,15.48,24.19,39.03,0.57,1.24,31.25,31.96,43.1,42.58,0.61,0.49,55.56,8.3,93.38,1.017,7.04,13.39,14.83,59.76,32.17,10.51,19.16,26.45,28.44
2015,Brian Gionta,BUF,R,69,1245.75,18.05434783,47.87,65.26,42.32,35.79,47.92,42.75,26.1,33.81,43.57,2.26,2.94,43.52,21.05,28.9,42.14,10.5,10.98,48.88,1.44,1.64,46.88,14.06,23.89,37.06,0.32,0.96,25,32.42,45.99,41.35,0.7,0.7,50,8.67,91.31,1,10.84,12.67,12.14,36.41,47.17,20.61,19.17,24.56,45.63
2015,Stephane Robidas,TOR,D,52,887.6166667,17.06955128,42.65,65.23,39.54,32.51,51.17,38.85,22.78,35.29,39.23,2.03,2.37,46.15,19.81,30.89,39.07,7.77,12.98,37.46,0.88,1.42,38.24,16.04,23.88,40.18,1.17,0.9,56.52,28.51,44.52,39.04,0.39,0.39,50,8.9,93.3,1.022,7.91,11.9,10.88,44.48,42.09,16.09,19.94,21.7,42.58
2015,Trevor Daley,DAL,D,68,1555.516667,22.8752451,56.59,64.99,46.54,42.16,48.18,46.67,29.28,33.44,46.68,3.16,3.7,46.07,29.32,31.13,48.5,11.73,12.96,47.5,1.54,2.04,43.01,23.45,24.22,49.19,1.29,1.34,49.02,32.32,40.9,44.14,0.78,0.78,50,10.8,88.93,0.997,11.07,13.46,11.76,40.31,48.48,24.96,22.99,24.34,50.63
2015,Andrew Miller,EDM,C,9,123.75,13.75,57.21,64.97,46.83,48.97,49.45,49.75,33.94,31.52,51.85,2.91,3.88,42.86,31.52,32.48,49.24,13.09,13.58,49.09,0.48,1.45,25,24.57,25.21,49.35,1.94,2.59,42.86,31.52,38.52,45,0,0.7,0,8.57,87.69,0.963,8.24,15.52,8.24,38.3,50,13.58,26.67,18.42,42.42
2015,Matt Hendricks,EDM,L,71,933.8,13.15211268,42.6,64.96,39.61,32.06,44.46,41.9,22.75,30.78,42.5,1.61,3.6,30.86,16.45,28.27,36.78,7.07,11.5,38.06,0.96,1.73,35.71,12.51,22.36,35.87,0.6,1.03,36.84,29.42,43.71,40.23,0.19,1.48,11.11,7.06,88.31,0.954,6.55,12.66,26.22,43.89,20,10.28,17.54,40.29,20.33
2015,Daniel Winnik,"PIT, TOR",L,79,1314.7,16.64177215,46.37,64.81,41.71,35.37,47.74,42.56,25.37,33.36,43.2,2.28,2.24,50.51,19.62,29.3,40.11,7.8,11.5,40.43,1.19,1.19,50,15.76,23.73,39.91,0.85,0.79,51.85,32.63,44.63,42.24,0.46,0.53,46.67,8.99,93.3,1.023,9.77,13.87,16.84,34.37,36.71,15.15,19.9,30.17,33.43
2015,Gregory Campbell,BOS,C,70,849.45,12.135,37.79,64.77,36.85,28.18,47.47,37.25,20.98,33.41,38.57,1.41,2.19,39.22,15.12,28.61,34.57,6.71,9.82,40.6,0.85,1.06,44.44,11.21,25.05,30.91,0.19,1.04,15.38,26.53,46.63,36.26,0.31,0.51,37.5,6.73,93.45,1.002,7.49,11.44,12.71,53.89,37.06,12.71,17.45,23.03,35.57
2015,Pierre-Edouard Bellemare,PHI,L,81,1039.383333,12.831893,42.83,64.71,39.83,32.1,45.49,41.37,23.32,31.29,42.71,1.5,2.71,35.62,16.86,26.27,39.09,6.81,10.97,38.31,0.81,1.44,35.9,13.39,20.4,39.64,0.69,0.69,50,30.94,47.86,39.26,0.17,1.08,13.33,6.44,91.33,0.978,10.22,13.22,13.68,46.35,42.75,15.24,18.13,22.51,40.37
2015,Eric Nystrom,NSH,L,60,791.6833333,13.19472222,36.08,64.65,35.82,26.37,45.17,36.86,19.7,32.89,37.46,1.59,2.5,38.89,12.81,27.74,31.59,4.62,10.46,30.65,0.68,1.44,32.14,10.91,23.04,32.14,0.61,1.11,35.29,28.02,43.79,39.02,0.44,0.33,57.14,8.08,92.4,1.005,4.02,13.79,26.98,36.83,12.96,6.67,18.19,43.35,13.33
2015,Luca Sbisa,VAN,D,76,1427.05,18.77697368,47.97,64.62,42.61,36.58,48.6,42.94,27.88,35.61,43.91,2.48,3.24,43.38,22.07,33.59,39.65,9.17,13.92,39.71,1.56,2.06,43.02,17.21,26.24,39.61,0.62,0.84,42.31,32.01,39.35,44.85,0.49,0.73,40,8.9,90.91,0.998,7.15,10.43,10.39,48.94,40.77,15.26,18.16,21.11,41.97
2015,Antoine Roussel,DAL,L,80,1161.75,14.521875,58.77,64.56,47.65,43.38,44.88,49.15,27.58,31.4,46.76,2.01,3.67,35.45,27.79,28.46,49.4,11.36,11.21,50.34,1.29,2.01,39.06,21.9,23,48.77,0.69,1.03,40,37.3,42.97,46.47,0.22,1.12,16.67,7.3,88.32,0.956,9.66,16.27,15.39,46.02,38.56,18.02,23.91,27.37,39.7
2015,Griffin Reinhart,NYI,D,8,113.3833333,14.17291667,48.16,64.56,42.72,37.57,46.04,44.94,25.4,33.87,42.86,3.18,3.18,50,25.93,33.34,43.75,14.29,15.88,47.37,2.12,1.59,57.14,15.52,23.28,40,0.71,0.71,50,29.05,36.69,44.19,0.76,1.53,33.33,12.5,90.63,1.031,5.82,12.7,8.47,53.98,40.74,14.29,23.81,19.05,42.86
2015,Patrick Dwyer,CAR,R,71,906.8833333,12.77300469,39.89,64.51,38.21,30.04,47.7,38.64,20.84,30.96,40.23,1.32,3.04,30.3,16.21,29.64,35.35,6.95,13.03,34.77,0.66,1.72,27.78,12.35,22.14,35.81,0.62,0.79,43.75,28.77,43.86,39.61,0.19,1.05,15.38,6.35,90.17,0.965,9.79,13.1,16.08,46.71,37.85,13.5,18.06,23.82,36.17
2015,Paul Gaustad,NSH,C,73,907.65,12.43356164,33.85,64.45,34.43,24.79,45.88,35.08,18.05,32.33,35.83,1.59,2.25,41.38,14.01,26.38,34.7,5.69,9.52,37.39,0.93,1.26,42.42,11.11,22.48,33.07,0.44,0.71,38.46,23.68,46.88,33.56,0.29,0.67,30,8.79,93.05,1.018,3.57,14.74,31.93,38.14,10.06,5.35,18.91,50.17,9.64
2015,Vernon Fiddler,DAL,C,80,1050.116667,13.12645833,49.82,64.45,43.6,37.54,46.51,44.66,25.88,31.31,45.25,2.4,3.31,42,24.8,30.28,45.02,11.03,13.26,45.41,1.54,2.23,40.91,18.36,22.7,44.71,0.84,0.76,52.38,28.47,39.94,41.62,0.25,0.66,27.27,9.27,89.42,0.987,9.54,13.54,17.71,48.79,35.01,15.77,20.45,29.37,34.94
