Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2019,Brandon Tanev,WPG,L,80,172.3833333,2.154791667,10.09,106.51,8.66,9.75,79.36,10.94,8.35,58.47,12.5,1.39,5.57,20,5.92,46.64,11.26,3.48,20.88,14.29,0.7,2.78,20,3.25,34.34,8.64,0.93,1.86,33.33,3.52,75.41,4.46,0,2.01,0,16.67,90.48,1.071,0.7,12.18,51.51,36.89,1.33,1.04,15.31,63.35,1.62
2019,Marc Staal,NYR,D,79,229.0833333,2.89978903,14.14,106.34,11.74,12.57,86.43,12.7,10.74,63.91,14.39,0.79,8.12,8.82,6.29,62.6,9.13,2.36,30.64,7.14,0.26,4.45,5.56,5.24,42.6,10.95,0.7,3.14,18.18,3.4,60.15,5.36,0,1.89,0,7.32,87.3,0.946,1.57,6.55,41.38,29.6,3.66,3.14,12.57,59.45,5.02
2019,Phillip Danault,MTL,C,81,202.2833333,2.497325103,19.28,106.19,15.37,16.91,81.57,17.17,13.94,58.14,19.34,0.59,6.82,8,7.42,55.47,11.79,4.15,24.92,14.29,0.3,2.67,10,4.35,40.73,9.65,0,5.14,0,9.43,69.41,11.96,0.43,0.43,50,4.26,88.27,0.925,2.08,8.31,47.75,36.78,4.17,4.75,14.53,72.67,6.13
2019,James Neal,CGY,L,63,0.5666666667,0.008994708995,105.88,105.88,50,105.88,105.88,50,0,0,-,0,0,-,105.88,105.88,50,0,0,-,0,0,-,141.18,141.18,50,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,211.76,-,0,0,0,-
2019,Frederik Gauthier,TOR,C,70,13.03333333,0.1861904762,18.41,105.88,14.81,18.41,96.68,16,13.81,59.85,18.75,0,9.21,0,9.21,69.05,11.76,4.6,32.23,12.5,0,4.6,0,6.14,49.1,11.11,0,6.14,0,6.65,46.55,12.5,0,0,-,0,84.62,0.846,4.6,4.6,73.66,64.45,5.88,4.6,4.6,78.26,5.56
2019,Colby Cave,"BOS, EDM",C,53,51.03333333,0.9628930818,10.58,105.81,9.09,10.58,84.65,11.11,7.05,54.08,11.54,0,9.41,0,7.05,64.66,9.84,4.7,27.04,14.81,0,4.7,0,3.14,50.16,5.88,0,6.27,0,1.7,56.04,2.94,0,0,-,0,82.61,0.826,2.35,5.88,39.97,44.68,5.56,3.53,8.23,45.85,7.14
2019,Corban Knight,PHI,C,23,20.48333333,0.8905797101,2.93,105.45,2.7,2.93,84.95,3.33,2.93,67.37,4.17,0,8.79,0,0,67.37,0,0,32.22,0,0,5.86,0,0,46.87,0,0,0,-,0,46.54,0,0,4.23,0,0,86.96,0.87,2.93,2.93,41.01,58.58,6.67,2.93,5.86,43.94,6.25
2019,Leo Komarov,NYI,"C, R",82,142.6833333,1.74004065,12.62,105.13,10.71,10.09,78.64,11.37,8.41,60.97,12.12,0.42,3.78,10,5.47,57.19,8.72,4.21,26.49,13.7,0,0.84,0,1.68,40.93,3.95,0,2.8,0,4.86,63.17,7.14,0,1.21,0,5,93.79,0.988,1.26,4.63,43.31,44.99,2.83,2.52,8.41,55.93,4.32
2019,Anton Stralman,T.B,D,47,136.4333333,2.902836879,12.75,105.11,10.82,11.87,76.08,13.5,8.8,58.49,13.07,0.44,6.16,6.67,7.04,52.33,11.85,3.52,19.79,15.09,0.44,2.64,14.29,4.69,43.39,9.76,0,3.52,0,2.54,73.69,3.33,0,1.27,0,5,89.47,0.945,0.44,3.96,28.59,30.34,1.52,0.44,7.48,43.54,1
2019,Johnny Gaudreau,CGY,L,82,2.283333333,0.02784552846,52.55,105.11,33.33,26.28,78.83,25,0,78.83,0,0,26.28,0,0,52.55,0,0,26.28,0,0,0,-,0,35.04,0,0,35.04,0,37.96,37.96,50,0,0,-,-,66.67,0.67,131.39,105.11,0,420.44,100,131.39,105.11,0,100
