Year,Player,Team,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per
2015,Matt Hunwick,NYR,D,55,869.8666667,2,9,5,4,11,72,2.78,140,97,39,13,2,5,16,8,8,0,0,1,27,15,55,103,43,0,0,-
2015,Luca Sbisa,VAN,D,76,1427.05,3,8,1,7,11,79,3.8,171,108,43,10,4,11,46,16,13,2,1,17,46,14,151,167,128,0,0,-
2015,Mark Borowiecki,OTT,D,63,1002.616667,1,10,4,6,11,30,3.33,77,50,14,3,2,6,107,34,21,13,0,23,21,9,233,113,102,0,0,-
2015,Jacob Josefson,N.J,C,62,770.7666667,6,5,2,3,11,61,9.84,111,87,76,32,2,5,24,11,11,0,0,7,14,15,55,75,30,289,297,49.32
2015,John Moore,"ARI, NYR",D,57,929.4833333,2,9,3,6,11,76,2.63,179,115,48,10,0,9,28,7,4,2,1,6,23,7,75,96,52,0,0,-
2015,Ryan Stanton,VAN,D,54,864.2833333,3,8,4,4,11,59,5.08,108,81,14,4,3,3,35,16,15,1,0,5,31,10,93,125,113,0,0,-
2015,Dainius Zubrus,N.J,C,74,1084.766667,4,6,4,2,10,72,5.56,105,92,67,28,3,10,42,20,20,0,0,13,19,19,99,103,41,37,49,43.02
2015,Matt Cooke,MIN,L,29,365.4,4,6,3,3,10,24,16.67,48,31,24,13,1,2,13,5,4,1,0,10,7,11,39,37,22,3,6,33.33
2015,Olli Jokinen,"NSH, STL, TOR",C,62,822.3666667,4,6,6,0,10,110,3.64,182,148,77,27,4,8,28,14,14,0,0,10,11,11,64,37,19,134,196,40.61
2015,Rob Scuderi,PIT,D,82,1570.216667,1,9,4,5,10,52,1.92,118,70,22,2,2,4,17,7,6,1,0,6,44,8,41,80,110,0,0,-
2015,Ron Hainsey,CAR,D,81,1708.833333,2,8,5,3,10,83,2.41,175,118,43,11,2,13,16,8,8,0,0,4,48,22,110,101,120,1,0,100
2015,Johnny Oduya,CHI,D,76,1541.733333,2,8,5,3,10,76,2.63,199,110,48,3,3,6,26,13,13,0,0,13,44,22,69,139,123,0,0,-
2015,Joakim Lindstrom,"STL, TOR",C,53,576.4,4,6,3,3,10,61,6.56,118,84,62,18,1,4,12,6,6,0,0,9,13,20,14,63,5,7,16,30.43
2015,Nikita Nikitin,EDM,D,42,824.8333333,4,6,3,3,10,80,5,149,103,17,5,2,9,12,6,6,0,0,5,35,17,21,51,49,0,0,-
2015,Andrew Desjardins,"CHI, S.J",L,69,741,5,5,0,5,10,59,8.47,101,71,53,25,2,2,57,18,11,7,0,11,18,14,128,90,35,158,154,50.64
2015,Viktor Stalberg,NSH,L,25,297.1166667,2,8,6,2,10,27,7.41,51,39,23,11,0,1,18,9,9,0,0,7,5,7,54,28,10,1,0,100
2015,Victor Bartley,NSH,D,37,497.0833333,0,10,7,3,10,28,0,65,45,6,2,2,3,26,10,8,2,0,2,9,2,77,39,53,0,0,-
2015,Brett Bellemore,CAR,D,49,802.4833333,2,8,5,3,10,26,7.69,62,48,17,4,2,6,27,12,11,1,0,8,28,9,148,136,54,0,0,-
2015,Brenden Dillon,"DAL, S.J",D,80,1565.683333,2,8,3,5,10,91,2.2,266,154,45,12,6,11,77,31,26,5,0,23,51,15,154,153,139,0,0,-
2015,Emerson Etem,ANA,"L, R",45,550.9666667,5,5,3,2,10,77,6.49,135,102,86,50,5,6,4,2,2,0,0,8,11,12,63,84,20,2,2,50
2015,Jyrki Jokipakka,DAL,D,51,842.05,0,10,4,6,10,40,0,101,63,30,4,0,8,8,4,4,0,0,0,37,16,42,92,66,0,0,-
2015,Seth Griffith,BOS,C,30,403.3,6,4,1,3,10,33,18.18,69,53,37,13,2,1,6,3,3,0,0,2,6,12,14,41,13,3,6,33.33
2015,Travis Moen,"DAL, MTL",L,44,412.8,3,6,4,2,9,34,8.82,55,46,41,18,3,2,18,6,4,2,0,5,7,7,62,54,24,0,4,0
2015,Marcel Goc,"PIT, STL",C,74,864.4666667,3,6,1,5,9,77,3.9,130,106,68,23,1,4,8,4,4,0,0,3,13,18,87,57,35,372,313,54.31
2015,Tim Gleason,"CAR, WSH",D,72,1175.916667,1,8,4,4,9,54,1.85,110,80,17,3,2,4,55,19,14,5,0,26,22,11,167,70,108,0,0,-
2015,Jay Harrison,"CAR, WPG",D,55,876.2833333,3,6,4,2,9,50,6,130,79,31,6,2,6,65,24,20,3,1,7,32,16,76,52,74,0,0,-
2015,Matt Greene,L.A,D,82,1295.683333,3,6,2,4,9,69,4.35,175,116,31,3,4,11,54,20,17,2,1,6,48,8,209,147,129,0,0,-
2015,Andre Benoit,BUF,D,59,1069.383333,1,8,3,5,9,45,2.22,106,69,22,5,3,6,20,10,10,0,0,4,20,10,38,66,98,0,0,-
