"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2015","Ryan O'Reilly","COL","C","82","148.28333333333","1","1","1","0","2","100.00","6","16.67","9","8","8","3","1","0","0","0","0","0","0","1","1","15","1","2","7","106","91","53.81"
"2015","Peter Holland","TOR","C","62","105.81666666667","1","1","1","0","2","100.00","10","10.00","14","12","11","3","1","0","4","2","2","0","0","3","1","18","5","5","5","37","42","46.84"
"2015","Casey Cizikas","NYI","C","70","100.68333333333","2","0","0","0","2","66.67","9","22.22","9","9","7","6","2","0","2","1","1","0","0","1","2","8","3","6","10","54","55","49.54"
"2015","Brenden Dillon","DAL, S.J","D","80","108.26666666667","1","1","1","0","2","50.00","6","16.67","8","6","3","1","0","0","13","5","4","1","0","8","4","0","10","5","12","0","0","-"
"2015","Justin Faulk","CAR","D","82","165.8","2","0","0","0","2","100.00","5","40.00","5","5","2","2","0","0","2","1","1","0","0","1","4","6","20","5","10","0","0","-"
"2015","Devante Smith-Pelly","ANA, MTL","R","74","86.75","1","1","1","0","2","66.67","7","14.29","9","9","9","3","4","0","2","1","1","0","0","0","2","3","5","2","8","1","7","12.50"
"2015","Cam Fowler","ANA","D","80","143.7","1","1","0","1","2","28.57","4","25.00","4","4","2","1","0","0","2","1","1","0","0","1","8","4","6","1","17","0","0","-"
"2015","Jaden Schwartz","STL","L","75","84.316666666667","0","2","2","0","2","100.00","4","0.00","6","4","2","0","0","0","0","0","0","0","0","0","1","7","0","1","7","2","7","22.22"
"2015","Ryan Johansen","CBJ","C","82","110.15","2","0","0","0","2","100.00","8","25.00","9","9","7","5","4","0","4","2","2","0","0","1","0","8","1","4","6","112","113","49.78"
"2015","Ondrej Palat","T.B","L","75","132.4","1","1","1","0","2","100.00","4","25.00","11","7","7","4","2","0","0","0","0","0","0","1","4","9","8","4","15","1","0","100.00"
"2015","Jean-Gabriel Pageau","OTT","C","50","97.2","2","0","0","0","2","100.00","14","14.29","15","15","8","6","0","0","0","0","0","0","0","1","1","3","5","2","8","51","78","39.53"
"2015","Sean Couturier","PHI","C","82","190.15","1","1","1","0","2","100.00","11","9.09","15","14","9","4","0","0","2","1","1","0","0","2","3","10","1","6","11","85","88","49.13"
"2015","Brian Flynn","BUF, MTL","C","63","117.11666666667","0","2","2","0","2","66.67","5","0.00","5","5","4","3","0","1","0","0","0","0","0","1","0","3","0","2","8","25","27","48.08"
"2015","Cedric Paquette","T.B","C","64","132.21666666667","2","0","0","0","2","66.67","4","50.00","6","5","5","3","1","0","11","4","3","1","0","6","6","5","1","8","18","21","15","58.33"
"2015","Sean Monahan","CGY","C","81","68.416666666667","1","1","1","0","2","100.00","7","14.29","7","7","5","4","2","0","2","1","1","0","0","2","1","5","2","1","4","50","51","49.50"
"2015","Stephane Robidas","TOR","D","52","114.43333333333","0","1","0","1","1","50.00","1","0.00","1","1","0","0","0","0","0","0","0","0","0","1","3","2","10","11","16","0","0","-"
"2015","Dainius Zubrus","N.J","C","74","101.18333333333","0","1","1","0","1","50.00","6","0.00","8","7","6","2","0","3","2","1","1","0","0","1","1","2","2","4","15","8","4","66.67"
"2015","Craig Adams","PIT","R","70","178.38333333333","0","1","1","0","1","50.00","6","0.00","7","6","1","0","1","0","0","0","0","0","0","2","2","2","14","1","17","10","11","47.62"
"2015","Willie Mitchell","FLA","D","66","213.8","0","1","0","1","1","100.00","1","0.00","1","1","0","0","0","0","4","2","2","0","0","2","5","4","5","6","34","0","0","-"
"2015","Eric Brewer","ANA, T.B, TOR","D","44","94.95","0","1","0","1","1","50.00","0","-","2","1","0","0","0","0","6","3","3","0","0","1","1","0","6","1","13","0","0","-"
"2015","Marian Hossa","CHI","R","82","124.7","1","0","0","0","1","50.00","10","10.00","13","10","8","5","1","1","2","1","1","0","0","1","3","8","3","1","5","0","2","0.00"
"2015","Andrew Ference","EDM","D","70","130.06666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","2","8","4","16","2","8","0","0","-"
"2015","Pascal Dupuis","PIT","R","16","34.133333333333","0","1","1","0","1","100.00","3","0.00","3","3","1","1","0","0","0","0","0","0","0","0","1","1","2","1","2","0","0","-"
"2015","Alex Tanguay","COL","L","80","115.23333333333","1","0","0","0","1","100.00","6","16.67","10","9","5","2","1","0","2","1","1","0","0","0","5","2","1","0","11","3","7","30.00"
"2015","Robyn Regehr","L.A","D","67","173.63333333333","0","1","1","0","1","25.00","1","0.00","2","2","0","0","0","1","4","2","2","0","0","1","5","0","15","5","26","0","0","-"
"2015","Mike Fisher","NSH","C","59","97.133333333333","1","0","0","0","1","50.00","6","16.67","6","6","4","2","1","0","0","0","0","0","0","4","3","9","2","1","12","48","40","54.55"
"2015","Erik Cole","DAL, DET","L","68","24.533333333333","1","0","0","0","1","100.00","2","50.00","3","3","2","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0.00"
