,Player,FantasyTeam,OverallDraftNumber,DraftRound,Fantasy Points,Modeled_Fantasy_Points,Points Differential
93,Vincent Trocheck,Datsyuk's Dekes,35,3,157.00000000000003,128.84793179045892,28.152068209541113
94,Aleksander Barkov,Amesville Aliens,44,4,306.25,250.52760348641132,55.72239651358868
95,Aaron Ekblad,Team Game Blouses,122,11,166.99999999999997,189.6478629579119,22.64786295791194
96,Keith Yandle,Gritty Gritty Bang Bang,118,10,199.35,182.11767154114494,17.23232845885505
97,Mike Matheson,Every Day I'm Byfuglien,231,20,146.8,144.60346227116736,2.196537728832652
98,Mike Hoffman,Davinci's McDavid,136,12,217.65,164.96015801090314,52.68984198909686
99,Jonathan Huberdeau,Gritty Gritty Bang Bang,123,11,256.7,198.1438930460701,58.556106953929884
100,Evgenii Dadonov,Datsyuk's Dekes,86,8,198.70000000000002,188.63996248638273,10.060037513617289
101,Anze Kopitar,Beet Beet Gourde Gourde,36,3,246.79999999999998,215.8092987571844,30.99070124281559
102,Drew Doughty,Beet Beet Gourde Gourde,61,6,209.35000000000002,182.77887524953255,26.571124750467476
103,Dion Phaneuf,Davinci's McDavid,232,20,91.8,87.09090760870971,4.709092391290284
104,Alec Martinez,Takoma Park Holtbeasts,222,19,124.25000000000001,116.67330223606902,7.576697763930994
105,Ilya Kovalchuk,Tronhelm Black Bears,117,10,105.85,111.25314105936145,5.4031410593614595
106,Dustin Brown,Every Day I'm Byfuglien,135,12,178.79999999999998,155.8563438895424,22.943656110457596
107,Jeff Carter,London Bacon Blades,96,8,158.7,175.45835738207504,16.758357382075047
108,Tyler Toffoli,Every Day I'm Byfuglien,159,14,107.60000000000001,143.0617713860281,35.461771386028104
109,Kevin Fiala,Tronhelm Black Bears,124,11,128.9,137.99196803021908,9.091968030219078
110,Mikko Koivu,Tronhelm Black Bears,189,16,110.94999999999999,95.26182644389021,15.688173556109774
111,Eric Staal,Datsyuk's Dekes,83,7,195.95000000000002,184.79884070843624,11.151159291563772
112,Ryan Suter,Amesville Aliens,101,9,179.1,185.30742002536934,6.207420025369345
113,Matt Dumba,Shat Deuces,79,7,102.25,79.49548874648531,22.754511253514693
114,Jared Spurgeon,Gritty Gritty Bang Bang,171,15,205.75,173.97489797437584,31.775102025624165
115,Jason Zucker,Amesville Aliens,77,7,163.85,153.91481267515059,9.935187324849409
116,Jesperi Kotkaniemi,Takoma Park Holtbeasts,259,22,147.45,130.1348218436936,17.315178156306388
117,Max Domi,Gritty Gritty Bang Bang,190,16,230.15,221.1695063595658,8.980493640434219
118,Shea Weber,Team Game Blouses,170,15,178.60000000000002,140.03691115409984,38.56308884590018
119,Jeff Petry,Amesville Aliens,188,16,214.1,196.5554935597518,17.5445064402482
120,Tomas Tatar,London Bacon Blades,240,20,191.7,169.66997534680746,22.030024653192527
121,Jonathan Drouin,Amesville Aliens,221,19,160.45000000000002,156.39511918544528,4.0548808145547355
122,Brendan Gallagher,Every Day I'm Byfuglien,178,15,208.39999999999998,180.78224395830497,27.617756041695003
123,Nico Hischier,Takoma Park Holtbeasts,126,11,165.3,159.00800612255804,6.291993877441968
124,Sami Vatanen,Beet Beet Gourde Gourde,204,17,100.14999999999999,89.08137530097272,11.068624699027268
125,Will Butcher,Gritty Gritty Bang Bang,147,13,118.45,131.4725258515475,13.022525851547485
126,Taylor Hall,Gritty Gritty Bang Bang,27,3,108.4,94.2747175122916,14.125282487708404
127,Kyle Palmieri,Every Day I'm Byfuglien,130,11,190.15,167.3631416412954,22.786858358704592
128,Filip Forsberg,Beet Beet Gourde Gourde,24,2,178.5,163.98029979979384,14.51970020020616
129,Mikael Granlund,Amesville Aliens,68,6,177.60000000000002,166.5716291285694,11.02837087143061
130,Kyle Turris,Davinci's McDavid,225,19,80.55000000000001,76.84711430853656,3.7028856914634503
131,Ryan Johansen,Every Day I'm Byfuglien,111,10,218.2,186.2555704448516,31.94442955514839
132,Mattias Ekholm,Tronhelm Black Bears,213,18,160.5,163.52318182034884,3.0231818203488388
133,P.K. Subban,Datsyuk's Dekes,38,4,133.0,141.07910193260946,8.079101932609461
134,Ryan Ellis,Davinci's McDavid,88,8,178.54999999999998,167.74852480737235,10.801475192627635
135,Roman Josi,Gritty Gritty Bang Bang,51,5,213.9,204.0296000662272,9.870399933772802
