Year,Player,Team,Position,GP,PPTOI,PPGoals,PPTotal_Assists,PPFirst_Assists,PPSecond_Assists,PPTotal_Points,PPShots,PPSHPer,PPiCF,PPiFF,PPiSCF,PPiHDCF,PPRush_Attempts,PPRebounds_Created,PPPIM,PPTotal_Penalties,PPMinor,PPMajor,PPMisconduct,PPPenalties_Drawn,PPGiveaways,PPTakeaways,PPHits,PPHits_Taken,PPShots_Blocked,PPFaceoffs_Won,PPFaceoffs_Lost,PPFaceoffs_Per
2015,Patrik Elias,N.J,C,69,142.7333333,5,4,2,2,9,29,17.24,40,35,34,17,1,4,0,0,0,0,0,0,6,0,1,6,0,30,28,51.72
2015,Erik Cole,"DAL, DET",L,68,124.5666667,3,6,5,1,9,14,21.43,31,20,24,14,0,4,4,2,2,0,0,2,0,1,5,5,0,1,3,25
2015,Brian Gionta,BUF,R,69,143.3333333,3,6,1,5,9,24,12.5,36,31,19,13,0,2,2,1,1,0,0,1,1,0,0,5,1,18,16,52.94
2015,Brad Boyes,FLA,R,78,157.8833333,5,4,2,2,9,27,18.52,44,33,26,9,0,2,6,3,3,0,0,0,6,3,3,8,1,30,11,73.17
2015,Stephen Weiss,DET,C,52,110.4833333,3,6,2,4,9,12,25,21,14,17,10,0,0,4,2,2,0,0,0,6,0,3,2,0,3,1,75
2015,Jussi Jokinen,FLA,L,81,180.4,2,7,3,4,9,34,5.88,54,42,35,15,1,6,8,4,4,0,0,0,5,2,5,3,0,32,19,62.75
2015,Patrick Eaves,DAL,R,47,89.11666667,6,3,0,3,9,17,35.29,30,26,26,14,0,3,0,0,0,0,0,3,2,0,6,3,0,0,0,-
2015,Drew Stafford,"BUF, WPG",R,76,180.1333333,4,5,2,3,9,40,10,58,50,39,18,0,7,6,3,3,0,0,2,2,2,2,5,1,26,30,46.43
2015,David Perron,"EDM, PIT",L,81,213.7333333,3,6,5,1,9,39,7.69,61,48,28,9,0,5,14,7,7,0,0,3,8,1,10,10,0,1,1,50
2015,Eric Gelinas,N.J,D,61,137.5333333,3,6,6,0,9,27,11.11,57,39,13,1,0,5,2,1,1,0,0,0,7,0,2,10,0,0,0,-
2015,Craig Smith,NSH,R,82,202.25,6,3,1,2,9,44,13.64,72,60,52,26,2,4,6,3,3,0,0,1,10,2,1,5,0,4,8,33.33
2015,Cam Fowler,ANA,D,80,191.4666667,1,8,2,6,9,25,4,60,35,21,1,0,3,0,0,0,0,0,0,6,2,0,4,3,0,0,-
2015,Rickard Rakell,ANA,C,71,92.38333333,2,7,4,3,9,13,15.38,26,20,16,5,1,0,0,0,0,0,0,0,4,0,3,14,0,28,26,51.85
2015,Morgan Rielly,TOR,D,81,196.6333333,1,8,4,4,9,17,5.88,35,22,16,1,0,1,2,1,1,0,0,1,4,2,2,13,3,0,0,-
2015,Rasmus Ristolainen,BUF,D,78,156.4,4,5,4,1,9,23,17.39,50,30,12,1,1,0,2,1,1,0,0,1,1,0,4,3,3,0,0,-
2015,Dan Boyle,NYR,D,65,171.8666667,3,5,2,3,8,43,6.98,85,58,25,6,0,9,2,1,1,0,0,0,10,2,0,7,1,0,0,-
2015,Ales Hemsky,DAL,R,76,150.5333333,1,7,4,3,8,11,9.09,29,17,9,7,1,1,4,2,2,0,0,0,6,5,2,12,1,0,0,-
2015,Alexandre Burrows,VAN,L,70,142.6166667,4,4,3,1,8,25,16,40,38,33,28,1,2,12,6,6,0,0,5,3,0,3,7,0,1,3,25
2015,Steve Bernier,N.J,R,67,89.96666667,4,4,2,2,8,17,23.53,19,19,19,16,0,0,7,2,1,1,0,0,1,0,5,4,2,1,0,100
2015,Lauri Korpikoski,ARI,L,69,65.33333333,5,3,3,0,8,11,45.45,20,19,17,13,0,2,0,0,0,0,0,0,2,0,1,5,0,0,1,0
2015,Carl Soderberg,BOS,C,82,164.5166667,5,3,3,0,8,34,14.71,48,45,32,20,1,4,2,1,1,0,0,0,2,0,1,7,0,24,22,52.17
2015,Alex Goligoski,DAL,D,81,170.1833333,0,8,5,3,8,14,0,37,21,15,2,0,0,2,1,1,0,0,0,10,3,1,3,1,0,0,-
2015,David Krejci,BOS,C,47,104.05,1,7,4,3,8,13,7.69,39,20,13,1,1,2,4,2,2,0,0,2,3,3,1,5,0,21,9,70
2015,Nathan Gerbe,CAR,C,78,118.4833333,2,6,2,4,8,17,11.76,24,23,18,13,1,3,8,4,4,0,0,3,4,0,3,4,0,1,0,100
2015,Milan Lucic,BOS,L,81,148.0666667,2,6,3,3,8,11,18.18,26,20,16,12,1,1,9,3,2,1,0,0,4,0,15,13,0,20,27,42.55
2015,Yannick Weber,VAN,D,65,94.4,5,3,2,1,8,19,26.32,48,27,8,1,0,4,0,0,0,0,0,0,2,0,0,2,2,0,0,-
2015,Jake Gardiner,TOR,D,79,196.85,0,8,1,7,8,19,0,44,26,11,1,0,0,0,0,0,0,0,0,7,2,2,4,2,0,0,-
2015,Michael Del Zotto,PHI,D,64,111.1333333,1,7,2,5,8,14,7.14,34,19,9,2,0,3,4,2,2,0,0,0,1,1,2,7,0,0,0,-
2015,TJ Brodie,CGY,D,81,177.6,3,5,2,3,8,23,13.04,61,30,17,3,1,3,6,3,3,0,0,0,6,4,1,3,1,0,0,-
2015,Chris Kreider,NYR,L,80,150.8333333,7,1,0,1,8,23,30.43,31,30,26,18,1,2,11,4,3,1,0,2,5,0,9,7,0,1,4,20
2015,Nino Niederreiter,MIN,R,80,125.3166667,6,2,1,1,8,21,28.57,36,30,29,21,0,3,4,2,2,0,0,0,1,3,11,8,0,0,1,0
2015,Brendan Gallagher,MTL,R,82,200.3333333,3,5,1,4,8,42,7.14,68,55,56,35,0,10,8,4,4,0,0,1,2,4,1,17,0,10,10,50
2015,Ryan Strome,NYI,"C, R",81,172.7666667,1,7,5,2,8,25,4,42,29,32,13,0,2,10,5,5,0,0,0,7,0,0,6,0,23,14,62.16
2015,Brad Richards,CHI,C,76,154.4,2,5,5,0,7,33,6.06,64,40,25,6,0,6,4,2,2,0,0,1,4,2,1,1,0,19,30,38.78
