"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_4v5","TOI_3v5","TOI_3v4","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"145","ANA","BUF",2009020739,14628,20092010,1,6.83333333333333,6.83333333333333,0,0,0,1,0,0,3,4,3,5,4,8,0,0,0,0
"146","ANA","S.J",2009020756,14630,20092010,0,10.7833333333333,10.7833333333333,0,0,0,1,0,0,2,9,3,11,6,19,0,0,0,0
"147","ANA","STL",2009020768,14632,20092010,0,2,2,0,0,0,0,0,0,0,3,0,4,0,6,0,0,0,0
"148","ANA","ATL",2009020780,14635,20092010,0,4.75,4.75,0,0,0,1,0,0,0,5,0,6,0,6,0,0,0,0
"149","ANA","WSH",2009020788,14636,20092010,0,6.9,4.9,2,0,0,1,0,0,0,13,1,18,2,19,0,1,0,0
"150","ANA","T.B",2009020804,14638,20092010,0,4,4,0,0,0,0,0,0,0,4,1,6,1,7,0,0,0,0
"151","ANA","FLA",2009020824,14641,20092010,0,7.53333333333333,7.1,0.433333333333333,0,0,0,0,0,0,5,1,9,2,11,0,0,0,0
"152","ANA","DET",2009020840,14643,20092010,1,4.36666666666667,4.36666666666667,0,0,0,1,0,0,0,6,0,7,0,8,0,0,0,0
"153","ANA","L.A",2009020849,14644,20092010,0,2.4,2.4,0,0,0,2,0,0,0,3,0,4,0,4,0,0,0,0
"154","ANA","L.A",2009020875,14648,20092010,1,8,8,0,0,0,0,0,0,1,6,1,11,2,11,0,0,0,0
"155","ANA","EDM",2009020890,14650,20092010,1,6.26666666666667,4.75,1.51666666666667,0,0,0,0,0,1,1,1,5,1,9,0,1,0,0
"156","ANA","CGY",2009020914,14653,20092010,0,4,4,0,0,0,0,0,0,0,4,0,7,0,7,0,0,0,0
"157","ANA","EDM",2009020921,14654,20092010,0,8.28333333333333,6.63333333333333,1.65,0,0,1,0,0,0,8,0,11,0,12,0,1,0,0
