,,,,,rule
2/23/16,SPURGEON,JARED,1.786096905,JARED SPURGEON,1
2/23/16,NIEDERREITER,NINO,1.782898621,NINO NIEDERREITER,1
2/23/16,DAVIDSON,BRANDON,1.779850646,BRANDON DAVIDSON,1
2/23/16,MARINCIN,MARTIN,1.770409425,MARTIN MARINCIN,1
2/23/16,JARNKROK,CALLE,1.756585137,CALLE JARNKROK,1
2/23/16,FAST,JESPER,1.755158794,JESPER FAST,1
2/23/16,FOLIGNO,NICK,1.75145982,NICK FOLIGNO,1
2/23/16,TATAR,TOMAS,1.749619687,TOMAS TATAR,1
2/23/16,MANNING,BRANDON,1.74701548,BRANDON MANNING,1
2/23/16,SLAVIN,JACCOB,1.746683117,JACCOB SLAVIN,1
2/23/16,GAGNER,SAM,1.742880697,SAM GAGNER,1
2/23/16,JANMARK,MATTIAS,1.740401355,MATTIAS JANMARK,1
2/23/16,CONNAUTON,KEVIN,1.737448651,KEVIN CONNAUTON,1
2/23/16,GIRARDI,DAN,1.735470931,DAN GIRARDI,1
2/23/16,ENSTROM,TOBY,1.724939424,TOBY ENSTROM,1
2/23/16,STRAIT,BRIAN,1.72116452,BRIAN STRAIT,1
2/23/16,PULKKINEN,TEEMU,1.719464704,TEEMU PULKKINEN,1
2/23/16,QUINCEY,KYLE,1.716252425,KYLE QUINCEY,1
2/23/16,COUTURIER,SEAN,1.715746134,SEAN COUTURIER,1
2/23/16,RAFFL,MICHAEL,1.715643408,MICHAEL RAFFL,1
2/23/16,KLEIN,KEVIN,1.700202663,KEVIN KLEIN,1
2/23/16,NYQUIST,GUSTAV,1.692727381,GUSTAV NYQUIST,1
2/23/16,READ,MATT,1.676213534,MATT READ,1
2/23/16,ROUSSEL,ANTOINE,1.668313536,ANTOINE ROUSSEL,1
2/23/16,YAKUPOV,NAIL,1.666780529,NAIL YAKUPOV,1
2/23/16,TYUTIN,FEDOR,1.662403625,FEDOR TYUTIN,1
2/23/16,GRABNER,MICHAEL,1.658310523,MICHAEL GRABNER,1
2/23/16,DI GIUSEPPE,PHILLIP,1.648687914,PHILLIP DI GIUSEPPE,1
2/23/16,BENN,JORDIE,1.639061019,JORDIE BENN,1
2/23/16,RICHARDSON,BRAD,1.637400456,BRAD RICHARDSON,1
2/23/16,SCHULTZ,NICK,1.635759093,NICK SCHULTZ,1
2/23/16,WIDEMAN,CHRIS,1.627475772,CHRIS WIDEMAN,1
2/23/16,LEIVO,JOSH,1.623001818,JOSH LEIVO,1
2/23/16,NURSE,DARNELL,1.622325831,DARNELL NURSE,1
2/23/16,SUSTR,ANDREJ,1.618930208,ANDREJ SUSTR,1
2/23/16,PROUT,DALTON,1.61288588,DALTON PROUT,1
2/23/16,MARCHENKO,ALEXEY,1.596049238,ALEXEY MARCHENKO,1
2/23/16,POSTMA,PAUL,1.591045437,PAUL POSTMA,1
2/23/16,SEVERSON,DAMON,1.583797083,DAMON SEVERSON,1
2/23/16,NEMETH,PATRIK,1.582058005,PATRIK NEMETH,1
2/23/16,NESTRASIL,ANDREJ,1.579442174,ANDREJ NESTRASIL,1
2/23/16,STAFFORD,DREW,1.579243303,DREW STAFFORD,1
2/23/16,HAINSEY,RON,1.576117151,RON HAINSEY,1
2/23/16,FOLIN,CHRISTIAN,1.569601669,CHRISTIAN FOLIN,1
2/23/16,HICKEY,THOMAS,1.564517777,THOMAS HICKEY,1
2/23/16,LAUGHTON,SCOTT,1.563846981,SCOTT LAUGHTON,1
2/23/16,LINDBERG,OSCAR,1.559927115,OSCAR LINDBERG,1
2/23/16,SHEAHAN,RILEY,1.541259215,RILEY SHEAHAN,1
