,player,projection
336271,PAUL.BYRON,2.5
338450,PAUL.STASTNY,2.5
339758,PAVEL.ZACHA,3
342265,PHIL.KESSEL,3
342349,PHIL.VARONE,3
342709,PHILIPPE.MYERS,3
342978,PHILLIP.DANAULT,3
343545,PIERRE-EDOUARD.BELLEMARE,3
346468,RADKO.GUDAS,3
348566,REILLY.SMITH,3
350100,RICHARD.PANIK,3
352465,RILEY.SHEAHAN,3
353792,ROBBY.FABBRI,3
353944,ROBERT.BORTUZZO,3
354104,ROBERT.HAGG,3
354349,ROBERT.THOMAS,3
357721,RON.HAINSEY,3
359671,RYAN.CALLAHAN,3
359817,RYAN.CARPENTER,3
360398,RYAN.DONATO,3
362383,RYAN.HARTMAN,3
364219,RYAN.KUFFNER,3.5
365315,RYAN.MCDONAGH,3.5
366276,RYAN.NUGENT-HOPKINS,3.5
367191,RYAN.O'REILLY,3.5
367563,RYAN.PULOCK,3.5
370534,RYAN.SUTER,3.5
373174,SAM.GAGNER,3.5
374473,SAMUEL.GIRARD,3.5
374491,SAMUEL.MORIN,3.5
376783,SCOTT.LAUGHTON,3.5
376948,SCOTT.MAYFIELD,3.5
379436,SEAN.COUTURIER,3.5
380421,SEBASTIAN.AHO,3.5
385425,SHAYNE.GOSTISBEHERE,3.5
385659,SHEA.THEODORE,4
386378,SHEA.WEBER,4
387714,SIDNEY.CROSBY,4
388942,STEFAN.NOESEN,4
393708,STEVEN.KAMPFER,4
393860,STEVEN.SANTINI,4
394659,STEVEN.STAMKOS,4
394995,SVEN.ANDRIGHETTO,4
396300,T.J..OSHIE,4
397237,TARO.HIROSE,4
398473,TEDDY.BLUEGER,4
399940,TEUVO.TERAVAINEN,4.5
400635,THOMAS.HICKEY,4.5
402294,TIM.HEED,4.5
403460,TIMO.MEIER,4.5
404936,TOBIAS.RIEDER,4.5
407186,TOM.KUHNHACKL,4.5
408413,TOM.WILSON,5
409270,TOMAS.HERTL,5
410738,TOMAS.NOSEK,5
412074,TOMAS.TATAR,5
413413,TOREY.KRUG,5
414031,TRAVIS.BOYD,5
414133,TRAVIS.DERMOTT,5
414916,TRAVIS.KONECNY,5
415563,TRAVIS.SANHEIM,5
416351,TRAVIS.ZAJAC,5
416364,TRENT.FREDERIC,5
417987,TREVOR.MOORE,5.5
418353,TREVOR.VAN RIEMSDYK,5.5
419137,TROY.BROUWER,5.5
419901,TY.RATTIE,5.5
420175,TYLER.BERTUZZI,5.5
420805,TYLER.BOZAK,5.5
421193,TYLER.ENNIS,5.5
421795,TYLER.JOHNSON,5.5
422859,TYLER.MYERS,5.5
424772,TYSON.BARRIE,6
424931,TYSON.JOST,6
427864,VICTOR.METE,6
428237,VICTOR.RASK,6.5
429591,VINCE.DUNN,6.5
430314,VINCENT.TROCHECK,6.5
430512,VINNIE.HINOSTROZA,6.5
431611,VLADIMIR.TARASENKO,7
432646,WARREN.FOEGELE,7
433869,WILL.BUTCHER,7.5
434340,WILLIAM.KARLSSON,7.5
434592,WILLIAM.NYLANDER,7.5
435669,YANNI.GOURDE,8
437473,ZACH.HYMAN,11
438420,ZACH.SENYSHYN,11
439182,ZACK.KASSIAN,11
