"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_5v4","TOI_5v3","TOI_4v3","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"92","ANA","DET",2008030234,14371,20082009,1,0.816666666666667,0.816666666666667,0,0,1,0,0,0,1,1,1,1,1,1,0,2,0,0
"93","ANA","DET",2008030235,14374,20082009,0,5.93333333333333,5.93333333333333,0,0,1,0,0,0,5,2,6,4,8,4,0,0,0,0
"94","ANA","DET",2008030236,14376,20082009,1,6.65,6.55,0,0.1,1,0,0,0,8,3,10,3,11,3,0,0,0,0
"95","ANA","DET",2008030237,14378,20082009,0,5.26666666666667,2.48333333333333,1.75,1.03333333333333,1,0,0,0,5,2,6,2,11,2,1,0,0,0
"96","ANA","S.J",2009020022,14520,20092010,1,10.1166666666667,9.1,0,1.01666666666667,1,1,0,0,11,1,13,1,20,1,0,1,0,0
"97","ANA","MIN",2009020029,14523,20092010,0,3.65,3.65,0,0,1,0,0,0,2,1,3,1,5,1,0,0,0,0
"98","ANA","BOS",2009020035,14525,20092010,0,2.36666666666667,2.25,0.116666666666667,0,2,0,0,0,4,0,5,0,6,0,1,0,0,0
"99","ANA","PHI",2009020052,14527,20092010,0,5.56666666666667,5.56666666666667,0,0,0,0,0,0,6,0,9,0,13,0,0,2,0,0
"100","ANA","NYR",2009020062,14528,20092010,0,6.28333333333333,6.28333333333333,0,0,0,0,0,0,3,0,5,0,7,0,0,0,0,0
"101","ANA","MIN",2009020079,14531,20092010,1,8.55,8.55,0,0,0,0,0,0,13,2,16,2,17,3,0,0,0,0
"102","ANA","STL",2009020105,14534,20092010,1,8.1,8.1,0,0,0,0,0,0,5,2,5,3,9,3,0,1,0,0
"103","ANA","DAL",2009020117,14538,20092010,1,2,2,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0
"104","ANA","CBJ",2009020144,14541,20092010,1,2.48333333333333,2.48333333333333,0,0,2,0,0,0,6,0,7,0,9,0,0,0,0,0
"105","ANA","TOR",2009020151,14543,20092010,1,3.03333333333333,3.03333333333333,0,0,1,0,0,0,5,1,6,2,6,2,0,0,0,0
"106","ANA","VAN",2009020178,14547,20092010,1,1.36666666666667,1.36666666666667,0,0,2,0,0,0,4,0,4,0,5,0,0,0,0,0
"107","ANA","ARI",2009020189,14548,20092010,0,12.05,10.15,1.9,0,1,0,0,0,16,1,22,1,24,1,2,0,0,0
"108","ANA","PIT",2009020202,14551,20092010,1,4,4,0,0,0,0,0,0,2,1,5,1,7,1,0,0,0,0
